name,var_name,var_value,region,type,carrier,tech
BE-biomass-st,capacity,0,BE,conversion,biomass,gt
BB-biomass-st,capacity,300000,BB,conversion,biomass,gt
BB-biomass-st,flow_in_biomass,10007738143.118065,BB,conversion,biomass,gt
BE-biomass-st,flow_in_biomass,10202844525.91058,BE,conversion,biomass,gt
BB-biomass-st,flow_out_electricity,3802940501.250883,BB,conversion,biomass,gt
BE-biomass-st,flow_out_electricity,3877080932.2052603,BE,conversion,biomass,gt
BB-biomass-st,invest_out_electricity,2025037.1,BB,conversion,biomass,gt
BE-biomass-st,invest_out_electricity,1832960.4,BE,conversion,biomass,gt
BB-biomass-st,summed_variable_costs_in_biomass,410317263.86784065,BB,conversion,biomass,gt
BE-biomass-st,summed_variable_costs_in_biomass,418316625.56233376,BE,conversion,biomass,gt
BB-biomass-st,summed_variable_costs_out_electricity,5324116.701751236,BB,conversion,biomass,gt
BE-biomass-st,summed_variable_costs_out_electricity,5427913.305087364,BE,conversion,biomass,gt
BE-electricity-curtailment,capacity,0,BE,excess,electricity,curtailment
BB-electricity-curtailment,capacity,0,BB,excess,electricity,curtailment
BB-electricity-curtailment,flow_in_electricity,0.0,BB,excess,electricity,curtailment
BE-electricity-curtailment,flow_in_electricity,349942812992.2954,BE,excess,electricity,curtailment
BB-electricity-demand,flow_in_electricity,20327319999.999977,BB,load,electricity,demand
BE-electricity-demand,flow_in_electricity,13399999999.999952,BE,load,electricity,demand
BE-electricity-liion-battery,capacity,0,BE,storage,electricity,liion_battery
BB-electricity-liion-battery,capacity,0,BB,storage,electricity,liion_battery
BB-electricity-liion-battery,flow_in_electricity,1074855617.5493984,BB,storage,electricity,liion_battery
BE-electricity-liion-battery,flow_in_electricity,0.0,BE,storage,electricity,liion_battery
BB-electricity-liion-battery,flow_out_electricity,813558219.9227998,BB,storage,electricity,liion_battery
BE-electricity-liion-battery,flow_out_electricity,0.0,BE,storage,electricity,liion_battery
BB-electricity-liion-battery,invest,4531681.1,BB,storage,electricity,liion_battery
BE-electricity-liion-battery,invest,0.0,BE,storage,electricity,liion_battery
BB-electricity-liion-battery,invest_in_electricity,1225038.5,BB,storage,electricity,liion_battery
BE-electricity-liion-battery,invest_in_electricity,0.0,BE,storage,electricity,liion_battery
BB-electricity-liion-battery,invest_out_electricity,1225038.5,BB,storage,electricity,liion_battery
BE-electricity-liion-battery,invest_out_electricity,0.0,BE,storage,electricity,liion_battery
BE-electricity-liion-battery,storage_capacity,0,BE,storage,electricity,liion_battery
BB-electricity-liion-battery,storage_capacity,0,BB,storage,electricity,liion_battery
BB-electricity-liion-battery,storage_losses,261297397.6265986,BB,storage,electricity,liion_battery
BE-electricity-liion-battery,storage_losses,0.0,BE,storage,electricity,liion_battery
BE-electricity-shortage,capacity,0,BE,shortage,electricity,shortage
BB-electricity-shortage,capacity,0,BB,shortage,electricity,shortage
BB-electricity-shortage,flow_out_electricity,0.0,BB,shortage,electricity,shortage
BE-electricity-shortage,flow_out_electricity,0.0,BE,shortage,electricity,shortage
BE-BB-electricity-transmission,capacity,0,BE_BB,link,electricity,transmission
BE-BB-electricity-transmission,flow_in_electricity_from_bus,34340643.339999996,BE_BB,link,electricity,transmission
BE-BB-electricity-transmission,flow_in_electricity_to_bus,353509562480.0573,BE_BB,link,electricity,transmission
BE-BB-electricity-transmission,flow_out_electricity_from_bus,353509562480.0573,BE_BB,link,electricity,transmission
BE-BB-electricity-transmission,flow_out_electricity_to_bus,34340643.339999996,BE_BB,link,electricity,transmission
BE-BB-electricity-transmission,transmission_losses,0.0,BE_BB,link,electricity,transmission
BE-ch4-gt,capacity,0,BE,conversion,oil,gt
BB-ch4-gt,capacity,306000,BB,conversion,oil,gt
BB-ch4-gt,flow_in_ch4,13586247.099000001,BB,conversion,oil,gt
BE-ch4-gt,flow_in_ch4,0.0,BE,conversion,oil,gt
BB-ch4-gt,flow_out_electricity,6793123.539999999,BB,conversion,oil,gt
BE-ch4-gt,flow_out_electricity,0.0,BE,conversion,oil,gt
BB-ch4-gt,summed_variable_costs_in_ch4,1236348.486009,BB,conversion,oil,gt
BE-ch4-gt,summed_variable_costs_in_ch4,0.0,BE,conversion,oil,gt
BB-ch4-gt,summed_variable_costs_out_electricity,30569.055929999995,BB,conversion,oil,gt
BE-ch4-gt,summed_variable_costs_out_electricity,0.0,BE,conversion,oil,gt
BE-solar-pv,capacity,400000,BE,volatile,solar,pv
BB-solar-pv,capacity,8800000,BB,volatile,solar,pv
BB-solar-pv,flow_out_electricity,75980729971.2385,BB,volatile,solar,pv
BE-solar-pv,flow_out_electricity,3453669544.147199,BE,volatile,solar,pv
BE-wind-onshore,capacity,100000,BE,volatile,wind,onshore
BB-wind-onshore,capacity,11600000,BB,volatile,wind,onshore
BB-wind-onshore,flow_out_electricity,294273376196.51904,BB,volatile,wind,onshore
BE-wind-onshore,flow_out_electricity,2536839449.970003,BE,volatile,wind,onshore
